# baseline 2026-09-05T17:58:06+01:00 kernel=7.1.6-400.asahi.fc44.aarch64+16k apple_avd=taint=OE(out-of-tree)
clip                         result         new-avd-dmesg
f_base_plain.h264            OK-identical   0
f_high_8x8.h264              FAIL(hw-timeout) 2
f_high_no8x8.h264            OK-identical   0
f_main_bframes.h264          OK-identical   0
f_main_cabac.h264            OK-identical   0
f_main_plain.h264            OK-identical   0
f_main_ref3.h264             OK-identical   0
f_main_weightp.h264          OK-identical   0
g_1080_base.h264             OK-identical   0
g_1080_high8x8.h264          FAIL(hw-timeout) 2
g_1080_main.h264             FAIL(hw-timeout) 1
g_1296_base.h264             FAIL(hw-timeout) 1
g_1296_main.h264             FAIL(hw-timeout) 1
h_1296_base_lowbr.h264       OK-identical   0
h_360_base_lossless.h264     SKIP(empty)    0
h_360_high8x8_lowbr.h264     FAIL(hw-timeout) 2
cam2-10s.h264             FAIL(hw-timeout) 4
t_1080p_high.h264            FAIL(hw-timeout) 2
t_1080p_main_cavlc.h264      FAIL(hw-timeout) 1
t_1280x720_base.h264         OK-identical   0
t_1296p_main_cavlc.h264      FAIL(hw-timeout) 1
t_320x240_base.h264          OK-identical   0
t_320x240_high.h264          FAIL(hw-timeout) 2
t_640x360_base.h264          OK-identical   0
t_720p_high.h264             FAIL(hw-timeout) 2
t_960x540_base.h264          OK-identical   0
