[ 3684.624210] avd 269080000.avd: 2b000100 | inst_fifo_start
[ 3684.628151] avd 269080000.avd: 2db032e0 | hdr_34_start_hdr
[ 3684.633644] avd 269080000.avd:  1000000 | hdr_38_mode
[ 3684.638700] avd 269080000.avd:  16f027f | hdr_3c_height_width
[ 3684.644455] avd 269080000.avd:        0 | hdr_40_zero
[ 3684.649514] avd 269080000.avd:   2d004f | hdr_28_height_width_shift3
[ 3684.655880] avd 269080000.avd:  1002801 | hdr_2c_sps_param
[ 3684.661374] avd 269080000.avd:        0 | hdr_44_flags
[ 3684.666518] avd 269080000.avd:        0 | hdr_48_chroma_qp_index_offset
[ 3684.673167] avd 269080000.avd:   30000a | hdr_58_const_3a
[ 3684.678581] avd 269080000.avd:        0 | cm3_dma_config_1
[ 3684.684094] avd 269080000.avd:        0 | cm3_dma_config_2
[ 3684.689556] avd 269080000.avd:        0 | zero
[ 3684.693990] avd 269080000.avd: fcfa0000 | hdr_9c_pps_tile_addr_lsb8[0]
[ 3684.700530] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[0] (high)
[ 3684.707708] avd 269080000.avd:        0 | cm3_dma_config_3
[ 3684.713175] avd 269080000.avd:        0 | cm3_dma_config_4
[ 3684.718668] avd 269080000.avd:        0 | zero
[ 3684.723116] avd 269080000.avd: fcf98000 | hdr_9c_pps_tile_addr_lsb8[1]
[ 3684.729701] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[1] (high)
[ 3684.736832] avd 269080000.avd: fce98000 | hdr_9c_pps_tile_addr_lsb8[2]
[ 3684.743349] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[2] (high)
[ 3684.750503] avd 269080000.avd: f4f90000 | hdr_9c_pps_tile_addr_lsb8[3]
[ 3684.757052] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[3] (high)
[ 3684.764191] avd 269080000.avd:        0 | cm3_dma_config_5
[ 3684.769699] avd 269080000.avd: fde00000 | hdr_210_y_addr_lsb8[0]
[ 3684.775703] avd 269080000.avd:        0 | hdr_210_y_addr_lsb8[0] (high)
[ 3684.782353] avd 269080000.avd:       28 | hdr_218_width_align
[ 3684.788113] avd 269080000.avd: fde39800 | hdr_214_uv_addr_lsb8[0]
[ 3684.794211] avd 269080000.avd:        0 | hdr_214_uv_addr_lsb8[0] (high)
[ 3684.800905] avd 269080000.avd:       28 | hdr_21c_width_align
[ 3684.806660] avd 269080000.avd:        0 | cm3_mark_end_section
[ 3684.812502] avd 269080000.avd:  16f027f | hdr_54_height_width
[ 3684.818259] avd 269080000.avd:        0 | cm3_mark_end_section_scl
[ 3684.824468] avd 269080000.avd: 2d830000 | slc_a7c_cmd_set_coded_slice
[ 3684.830958] avd 269080000.avd: fef00003 | slc_a84_slice_addr_low
[ 3684.836978] avd 269080000.avd:     cf19 | slc_a88_slice_hdr_size
[ 3684.843020] avd 269080000.avd: 2c000000 | cm3_cmd_exec_mb_vp
[ 3684.848657] avd 269080000.avd: 2d906000 | slc_a70_cmd_quant_param
[ 3684.854753] avd 269080000.avd: 2da30000 | slc_a74_cmd_deblocking_filter
[ 3684.861348] avd 269080000.avd: 2a000000 | cm3_cmd_set_mb_dims
[ 3684.867137] avd 269080000.avd:    16027 | cm3_set_mb_dims
[ 3684.872546] avd 269080000.avd: 2d028000 | slc_6e4_cmd_ref_type
[ 3684.878374] avd 269080000.avd: 2b000400 | cm3_cmd_inst_fifo_end
[ 3684.884615] avd 269080000.avd: 2b000100 | inst_fifo_start
[ 3684.889707] avd 269080000.avd: 2db012e0 | hdr_34_start_hdr
[ 3684.895200] avd 269080000.avd:  1000000 | hdr_38_mode
[ 3684.900244] avd 269080000.avd:  16f027f | hdr_3c_height_width
[ 3684.906001] avd 269080000.avd:        0 | hdr_40_zero
[ 3684.911073] avd 269080000.avd:   2d004f | hdr_28_height_width_shift3
[ 3684.917434] avd 269080000.avd:  1002801 | hdr_2c_sps_param
[ 3684.922917] avd 269080000.avd:   200000 | hdr_44_flags
[ 3684.928140] avd 269080000.avd:        0 | hdr_48_chroma_qp_index_offset
[ 3684.934704] avd 269080000.avd:   30000a | hdr_58_const_3a
[ 3684.940390] avd 269080000.avd:        0 | cm3_dma_config_1
[ 3684.945708] avd 269080000.avd:        0 | cm3_dma_config_2
[ 3684.951226] avd 269080000.avd:        0 | zero
[ 3684.955581] avd 269080000.avd: fcfa0000 | hdr_9c_pps_tile_addr_lsb8[0]
[ 3684.962074] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[0] (high)
[ 3684.969223] avd 269080000.avd:        0 | cm3_dma_config_3
[ 3684.974718] avd 269080000.avd:        0 | cm3_dma_config_4
[ 3684.980212] avd 269080000.avd:        0 | zero
[ 3684.984657] avd 269080000.avd: fcf98000 | hdr_9c_pps_tile_addr_lsb8[1]
[ 3684.991201] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[1] (high)
[ 3684.998359] avd 269080000.avd: fce98000 | hdr_9c_pps_tile_addr_lsb8[2]
[ 3685.004893] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[2] (high)
[ 3685.012043] avd 269080000.avd: f4f90000 | hdr_9c_pps_tile_addr_lsb8[3]
[ 3685.018585] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[3] (high)
[ 3685.025761] avd 269080000.avd:        0 | cm3_dma_config_5
[ 3685.031265] avd 269080000.avd: fdd00000 | hdr_210_y_addr_lsb8[0]
[ 3685.037279] avd 269080000.avd:        0 | hdr_210_y_addr_lsb8[0] (high)
[ 3685.043885] avd 269080000.avd:       28 | hdr_218_width_align
[ 3685.049649] avd 269080000.avd: fdd39800 | hdr_214_uv_addr_lsb8[0]
[ 3685.055737] avd 269080000.avd:        0 | hdr_214_uv_addr_lsb8[0] (high)
[ 3685.062469] avd 269080000.avd:       28 | hdr_21c_width_align
[ 3685.068226] avd 269080000.avd:        0 | cm3_mark_end_section
[ 3685.074054] avd 269080000.avd:  16f027f | hdr_54_height_width
[ 3685.079829] avd 269080000.avd:        0 | cm3_dma_config_6
[ 3685.085315] avd 269080000.avd: fce18000 | hdr_9c_pps_tile_addr_lsb8[7]
[ 3685.091857] avd 269080000.avd:        0 | hdr_9c_pps_tile_addr_lsb8[7] (high)
[ 3685.099006] avd 269080000.avd: fddce400 | hdr_bc_sps_tile_addr_lsb8[0]
[ 3685.105544] avd 269080000.avd:        0 | hdr_bc_sps_tile_addr_lsb8[0] (high)
[ 3685.112684] avd 269080000.avd:        0 | cm3_dma_config_7
[ 3685.118185] avd 269080000.avd:        0 | cm3_dma_config_8
[ 3685.123692] avd 269080000.avd:        0 | cm3_dma_config_9
[ 3685.129180] avd 269080000.avd:        0 | cm3_dma_config_a
[ 3685.134669] avd 269080000.avd:  1000002 | hdr_d0_ref_hdr
[ 3685.139993] avd 269080000.avd:        0 | cm3_mark_end_section_scl
[ 3685.146183] avd 269080000.avd: 2d820000 | slc_a7c_cmd_set_coded_slice
[ 3685.152629] avd 269080000.avd: fee80003 | slc_a84_slice_addr_low
[ 3685.158660] avd 269080000.avd:      219 | slc_a88_slice_hdr_size
[ 3685.164691] avd 269080000.avd: 2c000000 | cm3_cmd_exec_mb_vp
[ 3685.170339] avd 269080000.avd: 2d906000 | slc_a70_cmd_quant_param
[ 3685.176453] avd 269080000.avd: 2da30000 | slc_a74_cmd_deblocking_filter
[ 3685.183067] avd 269080000.avd: 2dc00000 | slc_6e8_cmd_ref_list_0
[ 3685.189084] avd 269080000.avd: 2dd00000 | slc_76c_cmd_weights_denom
[ 3685.195368] avd 269080000.avd: 2a000000 | cm3_cmd_set_mb_dims
[ 3685.201126] avd 269080000.avd:    16027 | cm3_set_mb_dims
[ 3685.206521] avd 269080000.avd: 2d018000 | slc_6e4_cmd_ref_type
[ 3685.212398] avd 269080000.avd: 2b000400 | cm3_cmd_inst_fifo_end
[ 3685.218626] avd 269080000.avd: 2b000100 | inst_fifo_start
[ 3685.223715] avd 269080000.avd: 2db012e0 | hdr_34_start_hdr
